geo,ACS_INET_pct,MIS_USE_pct,MAC_PFRM_pct,MAC_ROB_pct,MAC_LSM_pct,avg_ha,avg_eur_th,lsu_per_farm,n_farms,hh_internet
BE32,69.6,18.4,45.3333333333333,15.7333333333333,24.8,56.1386666666667,211.358450666667,63.3546666666667,3750,94.94
BE33,66.2538699690403,22.2910216718266,30.030959752322,17.6470588235294,27.2445820433437,49.8544891640867,190.142616099071,63.015479876161,3230,94.1
BE34,58.8495575221239,17.6991150442478,19.0265486725664,7.07964601769912,28.3185840707965,64.1371681415929,188.364840707965,100.986725663717,2260,93.69
BE35,71.4285714285714,23.0414746543779,40.5529953917051,14.2857142857143,26.7281105990783,69.9677419354839,236.462115207373,88.1198156682028,2170,91.07
CY00,4.59088069956277,1.12429731417864,0.124921923797626,0.374765771392879,1.37414116177389,4.05527795128045,26.9255924422236,7.45377888819488,32020,97.48
CZ01,96.1538461538462,26.9230769230769,11.5384615384615,1.92307692307692,7.69230769230769,66.6153846153846,84.5656153846154,20.0384615384615,260,98.12
CZ02,95.0934579439252,19.8598130841122,7.47663551401869,3.97196261682243,8.8785046728972,128.413551401869,273.074308411215,64.7266355140187,4280,94.73
CZ03,96.9911504424779,7.9646017699115,3.89380530973451,5.13274336283186,11.3274336283186,131.405309734513,186.612063716814,65.258407079646,5650,96.95
CZ04,97.737556561086,12.6696832579186,4.52488687782805,3.61990950226244,8.1447963800905,138.660633484163,189.616389140272,43.4932126696833,2210,95.07
CZ05,93.186372745491,20.2404809619238,4.80961923847695,3.60721442885772,10.8216432865731,113.132264529058,226.060006012024,62.3406813627254,4990,94.47
CZ06,88.7628865979381,10.2061855670103,4.74226804123711,2.78350515463918,6.5979381443299,75.0422680412371,184.599290721649,35.4649484536082,9700,95.68
CZ07,96.2666666666667,8.26666666666667,4,1.6,5.86666666666667,105.576,180.797968,38.7173333333333,3750,92.61
CZ08,94.8275862068966,11.6379310344828,3.87931034482759,2.58620689655172,7.32758620689655,93.5560344827586,125.742879310345,36.5560344827586,2320,96.25
DK01,100,10.5,26,17.5,18.5,54.17,143.025765,39.605,2000,97.75
DK02,100,18.75,35.0806451612903,24.3951612903226,17.741935483871,94.6673387096774,255.776310483871,62.4173387096774,4960,97.06
DK03,100,17.3210161662818,39.6073903002309,22.1709006928406,26.905311778291,89.4515011547344,414.746282909931,134.005773672055,8660,97.52
DK04,100,15.4249737670514,34.4176285414481,20.0419727177335,23.9244491080797,81.9842602308499,351.844305351522,124.185729275971,9530,97.55
DK05,100,13.9384116693679,34.8460291734198,18.9627228525122,25.6077795786062,79.969205834684,366.214708265802,139.30794165316,6170,96.12
EE00,87.5816993464052,34.3604108309991,31.5592903828198,8.02987861811391,11.577964519141,91.3501400560224,96.4855135387488,25.8655462184874,10710,95.4
FI19,88.8473520249221,56.2616822429907,66.5420560747664,19.3769470404984,13.8940809968847,48.6404984423676,83.6542174454829,22.8373831775701,16050,96.94
FI1B,91.9298245614035,56.4912280701754,64.2105263157895,16.8421052631579,5.6140350877193,63.3473684210526,63.7500842105263,7.24561403508772,2850,99.01
FI1C,89.1217564870259,58.6826347305389,66.4670658682635,18.9620758483034,9.98003992015968,61.4850299401198,86.9232774451098,19.0898203592814,10020,96.62
FI1D,89.3241167434716,57.6804915514593,61.136712749616,19.5084485407066,22.1198156682028,51.6513056835637,87.5172411674347,23.6344086021505,13020,97.38
FR10,88.6075949367089,81.7721518987342,84.8101265822785,43.0379746835443,5.31645569620253,141.324050632911,270.167448101266,9.12405063291139,3950,96.15
FRB0,87.7272727272727,73.6931818181818,71.1363636363636,38.2954545454545,17.3295454545455,128.164772727273,228.512067045455,33.7829545454545,17600,94.31
FRC1,89.2572944297082,73.9389920424403,54.1777188328912,21.4190981432361,31.3660477453581,116.188328912467,246.968285809019,60.6458885941645,15080,92.27
FRC2,81.2101910828026,71.656050955414,33.7579617834395,40.2866242038217,50.796178343949,107.482484076433,205.375972929936,78.9745222929936,6280,95.56
FRD1,75.4532775453278,59.8326359832636,44.3514644351464,29.9163179916318,43.4449093444909,81.4721059972106,205.397224546722,93.6311018131102,14340,90.71
FRD2,85.1951547779273,72.2745625841184,71.1978465679677,33.5127860026918,28.6675639300135,102.563930013459,261.795049798116,63.6029609690444,7430,94.1
FRE1,88.5416666666667,70.2651515151515,78.219696969697,40.3409090909091,31.6287878787879,76.5407196969697,284.398085227273,64.2897727272727,10560,92.77
FRE2,91.0351201478743,80.7763401109057,83.9186691312384,42.6987060998152,19.4085027726433,120.645101663586,299.592240295749,38.5794824399261,10820,92.84
FRF1,91.6160388821385,58.0801944106926,62.8189550425273,17.7399756986634,13.6087484811665,40.3232077764277,169.177816524909,27.4386391251519,8230,95.72
FRF2,85.1084337349398,67.7590361445783,66.4578313253012,20.6746987951807,9.87951807228916,74.8130120481928,236.776580722892,22.7243373493976,20750,94.33
FRF3,87.4125874125874,62.3543123543124,58.6247086247086,35.1981351981352,39.2773892773893,131.945221445221,198.080912587413,75.1305361305361,8580,93.65
FRG0,84.4167025398192,76.1084804132587,67.5419715884632,37.4946190271201,48.0413258717176,88.8105897546276,289.603600086096,129.372363323289,23230,94.35
FRH0,77.6990412671947,72.3634847853272,44.3101292205085,33.9308045018758,52.1467278032514,67.1350562734473,334.607719466444,170.173405585661,23990,93.64
FRI1,81.1827956989247,51.4695340501792,39.3548387096774,14.9820788530466,16.8458781362007,50.2870967741936,190.48052437276,29.7641577060932,27900,96.61
FRI2,78.0617678381257,59.3184238551651,23.6421725239617,11.0756123535676,36.9542066027689,88.3535676251331,105.994420660277,81.8104366347178,9390,94.91
FRI3,85.8376511226252,72.5964306275187,66.2636729994243,28.8428324697755,21.3586643638457,96.7875647668394,234.608883707542,45.6614853195164,17370,95.28
FRJ1,79.9124513618677,54.4747081712062,28.5505836575875,3.74513618677043,7.00389105058366,43.3127431906615,119.638441634241,9.85068093385214,20560,92.97
FRJ2,77.8473464519976,54.0548598688134,40.4591532498509,17.68038163387,22.927847346452,72.1317829457364,102.022728384019,34.0530709600477,33540,95.38
FRK1,79.9265605875153,58.0171358629131,25.0917992656059,20.9914320685435,37.3929008567931,87.2209302325581,107.923537943696,71.2264381884945,16340,93.86
FRK2,74.9903063202792,53.0825901512214,30.554478480031,15.7037611477317,22.7219852656068,56.2919736331912,132.49737107406,36.881737107406,25790,95.64
FRL0,79.625918503674,47.0273881095524,29.3253173012692,4.67601870407482,5.21042084168337,55.7448229792919,189.370557782231,9.93587174348697,14970,94.11
FRM0,48.8188976377953,43.3070866141732,13.7795275590551,2.36220472440945,4.7244094488189,63.6417322834646,128.736527559055,23.1732283464567,2540,83.43
FRY1,8.7378640776699,7.76699029126214,5.8252427184466,0.388349514563107,1.16504854368932,5.40194174757282,34.5987165048544,5.34174757281553,5150,85.05
FRY2,14.7058823529412,17.6470588235294,17.156862745098,2.45098039215686,3.92156862745098,9.69607843137255,92.8924411764706,7.67156862745098,2040,91.33
FRY3,1.82481751824818,1.64233576642336,0.182481751824818,0.364963503649635,0.364963503649635,7.26642335766423,54.8540875912409,2.72810218978102,5480,87.93
FRY4,30.6691449814126,16.3568773234201,17.6579925650558,1.30111524163569,7.80669144981413,6.80483271375465,73.6002156133829,12.6133828996283,5380,87.26
HR03,58.7386186986453,6.04041749944481,2.50943815234288,1.1325782811459,5.61847657117477,5.19520319786809,7.18635820564068,2.25494115034421,45030,87.11
HR05,74.5762711864407,5.50847457627119,6.77966101694915,0.847457627118644,5.50847457627119,3.91949152542373,10.0155805084746,2.49152542372881,2360,92.03
HR06,66.9941060903733,5.32907662082515,15.0049115913556,2.03831041257367,12.450884086444,5.84307465618861,13.5880984774067,4.7671905697446,40720,87.4
HU11,82.1428571428571,14.2857142857143,7.14285714285714,1.78571428571429,3.57142857142857,11.6071428571429,42.4723214285714,1.32142857142857,280,96.55
HU12,76.6081871345029,9.44026733500418,7.5187969924812,1.50375939849624,14.5363408521303,24.7619047619048,35.5097752715121,7.01503759398496,11970,95.26
HU21,81.8910256410256,12.5534188034188,9.18803418803419,2.19017094017094,15.5982905982906,32.4433760683761,49.9219829059829,12.534188034188,18720,95.17
HU22,77.7368421052632,9.1578947368421,8.63157894736842,2.63157894736842,14.6315789473684,29.5810526315789,53.04819,12.3573684210526,19000,94.4
HU23,81.4354066985646,11.1483253588517,10.8612440191388,3.44497607655502,17.8947368421053,33.9057416267943,55.5229454545455,13.5090909090909,20900,92.17
HU31,81.968031968032,11.6883116883117,8.34165834165834,1.74825174825175,10.4895104895105,30.1518481518482,33.9695174825175,6.86213786213786,20020,93.2
